지하철역,호선명,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,작업일자
서초,2호선,-8,2035,7904,31803,79150,60992,21597,6241,-1157,-8889,-9649,-19739,-24594,-45326,-65377,-25998,-19360,-20161,-7044,-742,472,22,0,0,20231103
선릉,2호선,-204,1517,31363,90962,223744,177487,65499,18245,3522,1122,-20552,-46862,-72848,-137842,-218678,-103746,-64952,-62776,-50636,-14189,702,247,0,0,20231103
성수,2호선,-64,-2001,23149,45779,207595,124420,60159,43398,38535,34986,23285,7532,-13174,-61888,-161374,-73855,-64694,-55931,-36365,-9130,3251,728,0,0,20231103
시청,2호선,-59,1115,16015,60192,194115,73955,15921,7850,6092,2531,-7918,-19169,-30755,-78090,-136557,-49839,-41371,-36437,-18615,-5696,152,60,0,0,20231103
신답,2호선성수지선,-13,-965,-1152,-5060,-9253,-3512,-1519,-965,-661,-495,-7,938,1531,2573,7506,5414,2829,3097,2283,1691,394,0,0,0,20231103
신당,2호선,-30,-5089,-2797,-12223,-16882,-6443,-1692,1022,-1006,400,668,2174,2441,7817,21430,12986,5574,4308,4191,3736,2164,48,0,0,20231103
신대방,2호선,-264,-23036,-24564,-72753,-104032,-63882,-29665,-18947,-16922,-10616,-1750,8295,14979,30130,58320,62585,42014,49072,43367,26360,7365,402,0,0,20231103
신도림,2호선신도림지선,-4117,-31126,-31356,-90311,-37116,-22716,164,162,-6355,-2721,-6545,-1672,4659,17456,45834,49506,15025,9092,24427,29912,18310,2006,1,0,20231103
신림,2호선,-278,-33799,-50171,-153342,-213404,-117484,-54238,-33533,-34621,-20920,-8913,10067,23664,55726,131098,135398,80514,79969,73581,50171,15549,938,0,0,20231103
신설동,2호선성수지선,-52,-963,270,71,3960,3273,2937,1500,-79,64,-1898,-3352,-4714,-5852,-4461,737,984,935,1371,1515,529,132,0,0,20231103
신정네거리,2호선신도림지선,-40,-8231,-14967,-43804,-33277,-17111,-11166,-8166,-6673,-3245,698,5749,10372,18068,36285,28505,15554,14446,13035,8994,2403,184,0,0,20231103
신촌,2호선,-71,-4776,820,-137,31415,57180,33384,17626,10370,12180,-491,-11564,-22526,-16510,14497,7292,-25959,-32234,-35874,-10446,730,291,0,0,20231103
아현,2호선,-26,-4562,-5934,-17783,-19598,-11548,-6888,-6302,-5575,-3499,-1266,-706,-3138,3833,13721,11980,7618,8879,8856,6831,1911,70,0,0,20231103
양천구청,2호선신도림지선,-19,-3932,-9214,-27867,-19952,-13530,-8526,-6422,-5012,-2515,1268,4333,5758,11803,20945,20973,11680,10601,8535,7336,2096,62,0,0,20231103
역삼,2호선,-65,2632,31156,124213,312605,257130,99164,30576,17389,14430,-6068,-30844,-52811,-156939,-203666,-105877,-60882,-55418,-32808,-9122,-122,108,0,0,20231103
영등포구청,2호선,-32,-1595,2857,-1473,65351,17916,2846,-110,-1598,476,-2798,-3189,-6178,-15440,-40412,1826,-3476,-3217,511,4158,2928,186,0,0,20231103
왕십리(성동구청),2호선,-838,-5412,-1433,-11484,-15640,-9772,-4200,-3815,-4519,-3486,-2982,-4728,-6819,1260,18991,9417,-535,-5013,-5751,-1494,2067,79,0,0,20231103
용답,2호선성수지선,-3,-1937,-2258,-6462,-9291,-2879,-1771,-1629,-1742,-1242,-774,4,648,1823,6728,4758,3159,4734,4282,2994,800,2,0,0,20231103
용두(동대문구청),2호선성수지선,-41,-1089,-992,-2773,-3869,-1508,-545,-425,-985,-90,45,232,-850,16,3037,2854,1682,1897,1562,1299,394,3,0,0,20231103
을지로3가,2호선,-25,536,15350,59946,153724,52237,11866,4886,258,662,-6294,-9997,-15979,-53168,-92922,-32503,-26876,-29167,-25734,-14909,-1543,54,0,0,20231103
을지로4가,2호선,-11,334,11012,27985,63767,25784,10440,7314,4352,876,-3217,-8633,-15834,-40585,-47253,-16841,-8581,-5876,-1474,479,409,27,0,0,20231103
을지로입구,2호선,-43,213,22591,111318,302202,130108,52279,30406,18682,7159,-7842,-22847,-34165,-98354,-200634,-87384,-95206,-53817,-43876,-14749,1333,653,0,0,20231103
이대,2호선,-43,-2944,-2649,-12840,5056,25652,20016,7224,1919,5048,-1516,-7785,-9121,-12096,6105,7484,1515,459,5296,9369,3257,112,0,0,20231103
잠실(송파구청),2호선,-132,-8364,-8222,-32251,20325,55445,39450,40903,26840,19511,10407,-264,-7648,-9898,-7946,-21963,-76969,-66347,-17632,13037,4979,185,0,0,20231103
잠실나루,2호선,-27,-471,2461,-16216,-7168,-5667,-6533,-7883,-3435,-336,-2619,-4188,-11255,-7550,9170,14500,7649,8999,11128,6635,2333,80,0,0,20231103
잠실새내,2호선,-42,-4722,-8846,-41282,-51033,-21213,-12153,-7016,-3742,299,6594,7902,14159,25423,43271,28003,8606,6438,3977,1237,2322,122,1,0,20231103
종합운동장,2호선,-7,-587,6023,6697,8757,-2098,775,2034,14645,34097,7639,5530,464,-6957,20363,610,-13964,-32358,-7283,2821,1407,69,0,0,20231103
충정로(경기대입구),2호선,-43,-2150,740,6139,37065,12212,1678,-684,-1695,-388,-1287,-1485,-4272,-13126,-24379,-555,6,832,2914,3331,1198,75,0,0,20231103
한양대,2호선,-7,-737,4007,7269,55912,48633,39732,5845,15461,6403,-3230,-16198,-27650,-33704,-20733,-9649,-10821,-13806,-7293,-3746,-258,18,0,0,20231103
합정,2호선,-93,-7692,-4985,-10935,40016,47751,24808,19900,18382,21376,12551,9519,8409,9438,-234,780,-21578,-35553,-34444,-11573,2227,362,0,0,20231103
홍대입구,2호선,-1228,-26167,-16040,-21718,26171,72307,48755,63772,76304,76765,58364,35913,20346,18525,32164,8369,-51798,-92643,-107558,-41373,6351,1547,0,0,20231103
가락시장,3호선,-61,-2429,-1288,-9525,2626,-2494,-4287,-2497,-1754,-1394,-1248,93,441,52,-503,6379,2987,2835,3964,3325,1434,16,0,0,20231103
경복궁(정부서울청사),3호선,-70,-852,8210,27320,111469,85196,66384,48248,29533,19403,-4167,-29750,-47819,-63799,-79613,-29709,-38110,-36792,-17681,-4897,407,41,0,0,20231103
경찰병원,3호선,-18,-2441,-4247,-13460,389,-1505,-3716,-4409,-2112,-414,-1098,-1677,662,428,2563,10851,4673,4664,5537,4195,1204,0,0,0,20231103
고속터미널,3호선,-158,-1580,27721,22339,29401,38891,36022,32200,16480,6521,-362,-11137,-23424,-30516,-28398,-53413,-95763,-54177,-30980,-8982,236,1,0,0,20231103
교대(법원.검찰청),3호선,-85,-980,2102,11226,33049,23640,2946,-6091,-9233,-12456,-18663,-19968,-21350,-34502,-47687,-21277,-22633,-23156,-19138,-5442,-553,1,0,0,20231103
구파발,3호선,-123,-10821,-22298,-60124,-47641,-14809,-1982,-5394,-5510,-1671,-2006,-5145,-4165,6220,40299,42093,19367,18625,17774,17177,7132,447,0,0,20231103
금호,3호선,-45,-4193,-7669,-21650,-28611,-17019,-9506,-6681,-5051,-2167,68,3419,5643,9835,18284,13644,8885,8880,8910,4897,1436,0,0,0,20231103
남부터미널(예술의전당),3호선,-28,-1899,17684,33615,101258,42400,11915,-1690,-2241,1102,-1342,-4386,-13672,-43763,-62309,-17910,-20337,-23762,-13962,-772,1513,0,0,0,20231103
녹번,3호선,-65,-9156,-21578,-63733,-60362,-34119,-19977,-14088,-11660,-6968,-2680,3630,10370,18219,42049,41344,24240,22765,20419,13337,3797,1,0,0,20231103
대청,3호선,-88,-2840,-4042,-11545,-10083,-8315,-7397,-6257,-4243,-3530,-2153,-2581,-4557,-2144,6971,11488,6878,7148,10398,6800,2432,9,0,0,20231103
대치,3호선,-23,-2404,-4916,-8360,1275,1028,-779,-865,-121,4303,2239,2197,7301,3094,5689,5569,-599,-6770,-24226,3450,1443,1,0,0,20231103
도곡,3호선,-33,-538,3082,3804,7471,6996,1166,1150,205,172,-468,-1743,-5279,-6131,-6101,-642,-1117,-958,71,1232,1400,224,0,0,20231103
독립문,3호선,-236,-4301,47,-307,2358,4211,7149,945,-1228,-1194,-2293,-5657,-4174,-2637,-268,5841,3020,2958,3472,3252,2016,529,0,0,20231103
동대입구,3호선,-36,-709,7067,10654,48770,35179,31618,19548,9408,8553,-3019,-7575,-13553,-17912,-18341,-10909,-23990,-16031,-11425,-1828,419,53,0,0,20231103
매봉,3호선,-12,-1108,1997,6500,52258,16280,2497,261,-668,-1972,-4113,-5707,-7588,-17915,-37472,-4153,-5163,-7179,-1281,1359,956,51,0,0,20231103
무악재,3호선,-22,-2059,-4135,-13715,-13678,-8539,-5133,-3103,-2463,-1283,-54,2115,3453,4890,9974,10970,6620,6222,5775,4362,1027,0,0,0,20231103
불광,3호선,-68,-8445,-13852,-39134,-29310,-6561,-1723,-498,2,2384,1562,2015,4290,11518,30672,30938,16272,14967,14858,9665,4149,0,0,0,20231103
수서,3호선,-158,-2327,4984,-2114,8847,4924,-12252,-4642,-8904,-7888,503,-5840,-6595,-7271,1463,14695,3603,10361,7305,1419,2436,213,0,0,20231103
신사,3호선,-61,-2196,12715,29682,78257,108556,47014,24381,15051,16284,5468,-6936,-15596,-33883,-57321,-50589,-40340,-45094,-36715,-13292,41,7,0,0,20231103
안국,3호선,-10,-19,19612,81784,111854,77501,58960,54913,33692,21912,2523,-28277,-60428,-98146,-103207,-48045,-41646,-34238,-16124,-3540,318,0,0,0,20231103
압구정,3호선,-84,-755,16949,33944,113432,124941,54387,31455,13004,13066,-1274,-11564,-22654,-37793,-72916,-56844,-54119,-39018,-26733,-5218,828,183,0,0,20231103
약수,3호선,-126,-5707,-4510,-11214,-4545,-6664,-4425,-3676,-5397,-4430,-1662,19,1740,3675,9848,9149,3570,1554,3732,3548,2686,431,0,0,20231103
양재(서초구청),3호선,-47,-2493,27364,67631,173052,82900,27556,13649,3966,5218,-5143,-13857,-24148,-58608,-103464,-31740,-30513,-27630,-11698,1831,2614,41,0,0,20231103
연신내,3호선,-195,-25270,-34681,-94244,-101898,-47395,-24092,-18618,-23477,-13592,-5772,2348,5424,32065,76920,74389,37937,36414,33894,24173,9306,9,0,0,20231103
오금,3호선,-37,-4429,-6274,-22600,-18279,-10123,-4857,-4326,-3153,-2017,-673,1743,1718,4149,10510,10678,6913,6440,8350,4933,2218,1,0,0,20231103
옥수,3호선,-226,-2281,-4645,-15052,-17727,-12221,-7421,-4202,-3338,-1438,-194,3088,3456,8030,15455,13193,7790,6990,8362,4667,1306,0,0,0,20231103
을지로3가,3호선,-15,455,7040,28404,68508,21141,5444,3632,2116,1426,-2168,-3528,-5799,-22296,-43378,-14102,-11882,-13007,-11271,-6282,-448,8,0,0,20231103
일원,3호선,-8,-729,2011,7759,711,2395,-1009,-5290,-3208,347,-1809,-8353,-17108,-19093,3784,6550,4792,6285,7411,3391,1448,29,0,0,20231103
잠원,3호선,0,-340,2726,-5769,-8005,-5313,-4340,-3667,-3277,-1464,450,-386,-2060,72,5086,5297,2799,2732,4849,2684,918,0,0,0,20231103
종로3가,3호선,-24,-19,4780,13460,40400,37348,26850,19710,15511,12195,7198,1592,-3719,-15008,-32180,-17744,-12203,-15036,-13203,-5613,171,10,0,0,20231103
지축,3호선,-5,-2381,-4832,-24184,-19781,-9789,-5828,-4206,-3337,-2021,-593,467,1353,6787,17505,16027,9592,8921,7455,4748,787,0,0,0,20231103
충무로,3호선,0,0,0,0,0,0,-2,-3,0,-1,-2,-5,-6,-4,-11,-5,-5,-3,-1,-4,-1,0,0,0,20231103
학여울,3호선,-1,-409,-183,-684,3392,2228,1624,606,316,571,35,-1403,-2440,-3097,-3161,660,559,473,601,848,329,0,0,0,20231103
홍제,3호선,-134,-9355,-17360,-54445,-45282,-24012,-12656,-11301,-12698,-7261,-1908,1473,5913,15786,36449,36040,20287,18688,18660,12887,3091,0,0,0,20231103
길음,4호선,-23,-8546,-25171,-70531,-49670,-25207,-12294,-5921,-8682,-3293,1200,857,4402,17130,42502,44090,24594,25022,23763,16178,4718,0,0,0,20231103
남태령,4호선,-23,-587,330,1175,947,-1086,-1102,-1517,-922,-693,-767,-818,-1755,-3081,-1802,118,536,667,569,392,128,0,0,0,20231103
노원,4호선,-248,-11884,-15601,-36728,-23070,-1804,-2922,-1885,-2028,4579,3687,6876,11188,24655,50709,40684,13185,10850,7573,9388,4620,611,0,0,20231103
당고개,4호선,-112,-9051,-12313,-37085,-27000,-13689,-8262,-5895,-5607,-3911,-2178,903,1987,6132,15241,17881,11580,11456,11726,8691,2972,366,0,0,20231103
동대문,4호선,-248,-1939,11130,28546,59148,52810,42091,29432,16858,6871,-5535,-21815,-41770,-62970,-43398,-14653,-11344,-15298,-12137,-2711,80,99,0,0,20231103
동대문역사문화공원(DDP),4호선,-329,-4774,8118,19199,48045,20499,12213,8837,4917,3048,-3790,-13147,-21850,-36573,-49596,-15627,-15946,-14991,-12476,-5150,224,101,0,0,20231103
동작(현충원),4호선,-9,152,1456,855,2638,1897,1166,135,133,1219,856,-193,-677,-973,43,1311,-3075,-2748,-1141,40,274,68,0,0,20231103
명동,4호선,-20,-481,15721,44819,101619,61830,33838,30881,33102,26640,12118,-1976,-13106,-29603,-64791,-28610,-38939,-43934,-44147,-13836,1401,133,0,0,20231103
미아(서울사이버대학),4호선,-22,-10051,-12701,-28700,-14090,-13948,-10128,-4726,-9145,-6024,-2748,973,795,5261,18215,20460,12638,12742,11239,10469,2793,-37,0,0,20231103
미아사거리,4호선,-66,-13765,-28774,-70006,-60794,-31246,-16744,-12400,-11660,-8179,-1343,4516,10855,28549,57783,46643,19140,25434,25618,15357,3857,37,0,0,20231103
